EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PNL,PNL_Pct,PortfolioBalance
1998-01-23,1998-08-27,58.8947,64.0129,1697,8685.62,8.69046,108686
1998-11-10,1999-10-15,70.0363,78.2184,1551,12690.4,11.6826,121376
1999-10-28,2000-10-10,84.3707,87.0976,1438,3921.27,3.23204,125297
2002-03-04,2002-04-08,74.4588,71.8502,1682,-4387.62,-3.50338,120910
2003-03-21,2003-03-31,58.833,55.5428,2055,-6761.42,-5.59248,114148
2003-06-06,2007-11-26,65.125,100.072,1752,61227.1,53.6614,175375
2007-12-12,2008-01-04,106.156,100.86,1652,-8749.15,-4.98897,166626
2009-09-01,2010-05-07,74.2543,83.5485,2243,20847,12.5168,187473
2010-09-21,2011-08-04,86.5452,92.5571,2166,13021.7,6.9465,200495
2011-10-27,2011-11-01,99.6107,95.0181,2012,-9240.49,-4.61064,191255
2012-02-15,2012-05-17,104.864,102.697,1823,-3949.55,-2.06603,187305
2012-06-14,2015-08-21,104.47,165.28,1792,108972,58.2081,296277
2015-12-04,2015-12-09,176.217,172.273,1681,-6629.57,-2.23805,289647
